brickname,brickid,coverage_class_exact_indicator
0026m652,30404,required
0026m655,29802,required
0026m705,18997,required
0026m707,18519,required
0026m710,18047,required
0026m762,9512,required
0026m765,9172,required
0026m767,8838,required
0026m820,3241,required
0027m395,120304,required
0027m397,119194,required
0027m402,116986,required
0027m405,115888,required
0027m407,114794,required
0027m462,91795,required
0027m465,90801,required
0027m467,89811,required
0027m470,88825,required
0027m472,87845,required
0027m475,86869,required
0027m477,85897,required
0027m480,84931,required
0027m532,65730,required
0027m535,64870,required
0027m537,64014,required
0027m540,63164,required
0027m542,62320,required
0027m545,61480,required
0027m597,45049,required
0027m600,44325,required
0027m602,43607,required
0027m605,42895,required
0027m607,42187,required
0027m657,29206,required
0027m660,28616,required
0027m662,28032,required
0027m712,17581,required
0027m770,8510,required
0027m772,8188,required
0027m822,3043,required
0028m410,113704,required
0028m412,112618,required
0028m415,111536,required
0028m417,110458,required
0028m420,109384,required
0028m422,108314,required
0028m425,107250,required
0028m427,106190,required
0028m482,83969,required
0028m485,83011,required
0028m487,82059,required
0028m490,81111,required
0028m492,80167,required
0028m495,79229,required
0028m497,78295,required
0028m547,60646,required
0028m550,59816,required
0028m552,58992,required
0028m555,58172,required
0028m557,57358,required
0028m560,56550,required
0028m610,41485,required
0028m612,40789,required
0028m615,40099,required
0028m617,39413,required
0028m665,27454,required
0028m667,26882,required
0028m670,26316,required
0028m672,25756,required
0028m720,16219,required
0028m722,15777,required
0028m725,15339,required
0028m775,7872,required
0028m825,2851,required
0029m432,104082,required
0029m435,103034,required
0029m437,101990,required
0029m440,100950,required
0029m442,99916,required
0029m445,98886,required
0029m447,97860,required
0029m450,96838,required
0029m500,77365,required
0029m502,76441,required
0029m505,75521,required
0029m507,74607,required
0029m510,73697,required
0029m512,72793,required
0029m562,55746,required
0029m567,54154,required
0029m570,53366,required
0029m572,52584,required
0029m620,38733,required
0029m622,38059,required
0029m625,37391,required
0029m627,36727,required
0029m675,25202,required
0029m677,24652,required
0029m680,24108,required
0029m727,14907,required
